dates,reachpermillion
2019-10-20,2400
2019-10-21,2300
2019-10-22,2400
2019-10-23,2400
2019-10-24,2300
2019-10-25,2400
2019-10-26,2600
2019-10-27,2500
2019-10-28,2300
2019-10-29,2500
2019-10-30,2400
2019-10-31,2600
2019-11-01,2300
2019-11-02,2900
2019-11-03,3200
2019-11-04,2600
2019-11-05,2600
2019-11-06,2600
2019-11-07,3100
2019-11-08,3600
2019-11-09,3500
2019-11-10,3700
2019-11-11,3700
2019-11-12,3000
2019-11-13,2700
2019-11-14,2900
2019-11-15,3500
2019-11-16,4100
2019-11-17,3700
2019-11-18,3400
2019-11-19,3300
2019-11-20,3000
2019-11-21,3400
2019-11-22,3700
2019-11-23,4300
2019-11-24,4800
2019-11-25,4700
2019-11-26,4800
2019-11-27,5200
2019-11-28,7460
2019-11-29,10500
2019-11-30,6010
2019-12-01,4200
2019-12-02,6700
2019-12-03,4710
2019-12-04,3200
2019-12-05,3600
2019-12-06,3500
2019-12-07,3600
2019-12-08,3800
2019-12-09,3600
2019-12-10,3300
2019-12-11,3000
2019-12-12,2900
2019-12-13,2800
2019-12-14,3000
2019-12-15,3100
2019-12-16,3300
2019-12-17,2900
2019-12-18,2900
2019-12-19,2800
2019-12-20,2700
2019-12-21,3100
2019-12-22,3200
2019-12-23,3500
2019-12-24,3600
2019-12-25,2900
2019-12-26,3700
2019-12-27,3500
2019-12-28,3200
2019-12-29,3000
2019-12-30,2700
2019-12-31,2700
2020-01-01,2700
2020-01-02,2900
2020-01-03,2400
2020-01-04,2900
2020-01-05,2400
2020-01-06,2300
2020-01-07,2300
2020-01-08,2000
2020-01-09,1800
2020-01-10,2200
2020-01-11,2300
